
2017-06-19 10:52:08 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:52:19 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:52:19 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:52:19 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:52:28 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:52:28 INFO | 71 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:52:29 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:52:35 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/seat
2017-06-19 10:52:35 DEBUG| Move employee with ID=[10] from seat [155] to seat [190] started
2017-06-19 10:52:35 DEBUG| Target seat [190] is not empty, occupied by employee with ID=[106] (transit move expected)
2017-06-19 10:52:35 DEBUG| Auto-Transit-Move employee with ID=[106] from seat [190] to seat [9000] started
2017-06-19 10:52:35 DEBUG| Move employee with ID=[10] from seat [155] to seat [190] completed

2017-06-19 10:52:36 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:52:36 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:52:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:52:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:52:46 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:52:46 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:52:46 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:52:46 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:52:49 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:52:49 INFO | 70 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:52:49 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:04 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:55:04 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:04 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:10 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:55:10 INFO | 70 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:10 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:37 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:55:37 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:37 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:39 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:55:39 INFO | 70 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:39 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:42 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:55:42 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:42 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:55:44 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 10:55:44 INFO | 70 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 10:55:44 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 13:40:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 13:40:36 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 13:40:37 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 13:40:38 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 13:40:38 INFO | 67 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 13:40:38 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 13:40:45 INFO | 70 records of type: Seat retrieved by user: CORPORATE\chewang
2017-06-19 13:40:45 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=3
2017-06-19 13:40:45 INFO | 107 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 14:07:34 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/seat
2017-06-19 14:07:35 FATAL| System.ArgumentException: Source and Target seat [188] should not be the same

2017-06-19 14:07:46 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/seat
2017-06-19 14:07:46 FATAL| System.ArgumentException: Source and Target seat [188] should not be the same

2017-06-19 14:22:11 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/Seat
2017-06-19 14:23:44 FATAL| System.ArgumentException: Source and Target seat [1] should not be the same

2017-06-19 14:25:23 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/Seat
2017-06-19 14:25:51 FATAL| System.ArgumentException: Source and Target seat [1] should not be the same

